ID,Name,Level,Gender,Age,Email,status
1002,Tanaka Yuto,4,Male,22,yuto.tanaka@gmail.com,international_student
1003,Yamamoto Aoi,3,Female,25,aoi.yamamoto@gmail.com,international_student
1004,Kobayashi Rina,3,Female,19,rina.kobayashi@gmail.com,high_school_student
1005,Shimizu Keiko,4,Female,41,keiko.shimizu@gmail.com,Full Time
1006,Takahashi Daiki,4,Male,31,daiki.takahashi@gmail.com,Part Time
1007,Matsuda Kenta,2,Male,18,kenta.matsuda@gmail.com,high_school_student
1008,Fujimoto Yui,3,Female,22,yui.fujimoto@gmail.com,international_student
1009,Nakamura Haruna,3,Female,27,haruna.nakamura@gmail.com,Full Time
1010,Hasegawa Mio,4,Female,29,mio.hasegawa@gmail.com,Part Time
1011,Okada Ren,2,Male,20,ren.okada@gmail.com,high_school_student
1012,Kawasaki Sho,5,Male,28,sho.kawasaki@gmail.com,Full Time
1013,Morita Ayaka,4,Female,26,ayaka.morita@gmail.com,international_student
1014,Endo Takumi,3,Male,24,takumi.endo@gmail.com,international_student
1015,Suzuki Nanami,4,Female,30,nanami.suzuki@gmail.com,Full Time
1016,Yoshida Kaito,2,Male,17,kaito.yoshida@gmail.com,high_school_student
1017,Kondo Akira,3,Male,32,akira.kondo@gmail.com,Part Time
1018,Ishikawa Mei,4,Female,23,mei.ishikawa@gmail.com,international_student
1019,Hayashi Riku,3,Male,27,riku.hayashi@gmail.com,Full Time
1020,Honda Sakura,3,Female,21,sakura.honda@gmail.com,international_student
1021,Michael Johnson,3,Male,24,michael.johnson@gmail.com,international_student
1022,Sophia Chen,4,Female,22,sophia.chen@gmail.com,international_student
1023,Daniel Kim,3,Male,26,daniel.kim@gmail.com,international_student
1024,Lisa Müller,4,Female,25,lisa.muller@gmail.com,international_student
1025,Ahmed Ali,3,Male,23,ahmed.ali@gmail.com,international_student
